district,video_count,total_views,total_likes,total_comments,avg_views,avg_likes,avg_comments,max_views
서교동,100,53025883,689481,12424,525009,6827,123,7938167
청담동,100,33146462,308183,9344,328183,3051,93,9362364
서초3동,100,22688186,223028,2514,224636,2208,25,8870455
신당동,100,22531884,263646,11600,223088,2610,115,6372611
구로3동,100,22450466,186838,5791,222282,1850,57,7402569
상암동,100,21195393,343178,10592,209855,3398,105,7526376
성수동,100,20989901,280880,10331,207821,2781,102,2230179
압구정동,100,15186103,166084,10405,150357,1644,103,2256135
여의동,100,13427652,135107,7433,132947,1338,74,3249675
송파2동,100,12896164,96515,4788,127685,956,47,2683665
용강동,100,12634977,142228,4531,125099,1408,45,2683656
논현2동,100,10749678,94816,5521,106432,939,55,4434785
문정2동,100,10577938,109339,3861,104732,1083,38,4588746
서초2동,100,10478671,59554,2986,103749,590,30,2256096
양평2동,100,6951263,71166,4179,68824,705,41,1274666
삼성1동,100,6289214,51514,2266,62269,510,22,4327406
염리동,100,4524825,50231,3035,44800,497,30,1328109
방배1동,100,4056514,46354,2426,40164,459,24,972661
삼성2동,100,3837251,15393,991,37993,152,10,2068219
가산동,100,3719537,35318,3230,36827,350,32,2682342
대치4동,100,2617994,18966,534,25921,188,5,914111
효창동,100,2411439,29771,2153,23876,295,21,517638
중림동,100,2105633,22233,1634,20848,220,16,363459
